accuracy,auc,loss,prc,precision,recall,val_accuracy,val_auc,val_loss,val_prc,val_precision,val_recall,learning_rate
0.8011794686317444,0.9345815777778625,0.517277181148529,0.8949328660964966,0.8257372379302979,0.7784330248832703,0.9662162065505981,0.9986246824264526,0.10462120920419693,0.9973004460334778,0.9758620858192444,0.9560810923576355,0.0010000000474974513
0.9435551762580872,0.9927914142608643,0.17528055608272552,0.9867461323738098,0.9488926529884338,0.9385004043579102,0.9425675868988037,0.9959053993225098,0.12360171973705292,0.9921945333480835,0.9455782175064087,0.9391891956329346,0.0010000000474974513
0.957876980304718,0.9927598237991333,0.16173787415027618,0.9874995946884155,0.960203230381012,0.9553496241569519,0.962837815284729,0.9976117610931396,0.09388548135757446,0.9953647255897522,0.9625850319862366,0.9560810923576355,0.0010000000474974513
0.9587194323539734,0.9944419860839844,0.14264146983623505,0.9896535277366638,0.9643463492393494,0.9570345282554626,0.9763513803482056,0.9990839958190918,0.06708354502916336,0.9982107877731323,0.9795918464660645,0.9729729890823364,0.0010000000474974513
0.9696714282035828,0.9973935484886169,0.10592196136713028,0.9950306415557861,0.9712595343589783,0.967986524105072,0.9695945978164673,0.9991154670715332,0.06296795606613159,0.9982631206512451,0.9693877696990967,0.962837815284729,0.0010000000474974513
0.9671440720558167,0.9970077872276306,0.1168702244758606,0.9944181442260742,0.9687235951423645,0.9654591679573059,0.9695945978164673,0.9988215565681458,0.06527935713529587,0.9977080821990967,0.9728813767433167,0.9695945978164673,0.0010000000474974513
0.9646166563034058,0.9970165491104126,0.11607065051794052,0.9941471815109253,0.9662162065505981,0.9637742042541504,0.9797297120094299,0.9991353750228882,0.05419699102640152,0.9983214735984802,0.9797297120094299,0.9797297120094299,0.0010000000474974513
0.973041296005249,0.9970868825912476,0.0960991159081459,0.994165301322937,0.9738396406173706,0.9721988439559937,0.9527027010917664,0.9969639778137207,0.10620860755443573,0.99419766664505,0.9559321999549866,0.9527027010917664,0.0010000000474974513
0.9806234240531921,0.9988090991973877,0.07018593698740005,0.9977306723594666,0.9814345836639404,0.9797809720039368,0.9763513803482056,0.9983935356140137,0.07739845663309097,0.9969199895858765,0.9794520735740662,0.9662162065505981,0.0010000000474974513
0.9797809720039368,0.9976803064346313,0.08529359102249146,0.9965437650680542,0.9805907011032104,0.9789385199546814,0.962837815284729,0.997626006603241,0.0950552374124527,0.9955467581748962,0.9726027250289917,0.9594594836235046,0.0010000000474974513
0.9738837480545044,0.9975998997688293,0.08765046298503876,0.9952970147132874,0.9738616943359375,0.973041296005249,0.9729729890823364,0.9993237853050232,0.05191413685679436,0.9986761808395386,0.9762712121009827,0.9729729890823364,0.00020000000949949026
0.9882055521011353,0.9997326135635376,0.0453273244202137,0.9994732141494751,0.9890387654304504,0.9882055521011353,0.9797297120094299,0.9987729787826538,0.06438172608613968,0.9976298809051514,0.9797297120094299,0.9797297120094299,0.00020000000949949026
0.9831507802009583,0.9993214011192322,0.057394448667764664,0.9986903667449951,0.9831365942955017,0.9823083281517029,0.9797297120094299,0.9983278512954712,0.07805889844894409,0.9968039393424988,0.9795918464660645,0.9729729890823364,0.00020000000949949026
0.9848357439041138,0.9986518621444702,0.06428884714841843,0.9973334670066833,0.9856660962104797,0.9848357439041138,0.9662162065505981,0.9976116418838501,0.09646289050579071,0.9954594373703003,0.9693877696990967,0.962837815284729,0.00020000000949949026
0.9839932322502136,0.9993773698806763,0.054275743663311005,0.9988114237785339,0.9848101139068604,0.9831507802009583,0.9695945978164673,0.998016893863678,0.08745597302913666,0.9962178468704224,0.9727891087532043,0.9662162065505981,4.0000002627493814e-05
